117,120
30,231
250,251
228,228
9,249
46,245
170,183
114,118
230,231
1,250
32,229
249,250
247,246
4,167
114,116
230,230
250,251
2,227
50,250
246,245
163,178
118,117
230,230
0,251
23,220
250,250
246,246
1,177
117,116
31,231
250,251
222,219
1,251
47,247
161,178
116,117
2,232
50,250
231,225
251,251
6,247
46,160
120,121
2,232
51,250
232,227
251,251
6,246
46,160
119,118
2,230
50,252
227,224
251,251
7,248
60,178
115,117
30,230
251,251
227,226
1,251
47,248
164,180
115,117
231,231
251,251
9,227
51,251
247,248
164,182
116,117
2,232
52,252
230,228
251,251
7,246
50,165
118,118
231,230
2,252
32,230
251,251
246,247
2,169
118,118
1,231
51,252
232,229
251,251
6,246
55,172
118,117
30,231
250,251
231,227
1,251
47,246
159,176
118,117
0,232
51,251
230,226
251,251
7,247
62,178
118,117
0,232
52,252
230,227
252,251
6,246
65,180
119,118
231,232
2,251
27,224
252,252
247,248
4,195
118,118
231,231
1,252
30,228
251,251
248,248
0,185
117,118
32,231
252,252
230,228
1,252
48,248
172,186
116,118
31,231
252,252
230,226
1,252
48,248
173,188
117,118
231,230
1,250
31,228
249,250
248,247
6,174
118,118
230,229
250,250
8,226
49,249
248,248
191,201
117,117
0,229
50,249
228,227
247,246
8,249
92,201
117,117
30,229
251,250
231,229
5,245
48,248
178,191
116,115
229,228
0,249
32,231
242,240
249,250
3,178
119,118
29,229
247,246
231,231
8,237
48,248
177,191
122,121
29,229
247,245
233,234
5,234
48,248
177,191
121,120
30,229
251,249
236,236
5,234
47,248
162,176
120,119
229,230
250,248
7,237
35,234
247,248
175,190
120,119
30,230
251,249
237,236
2,233
48,249
174,189
120,119
231,231
1,250
39,238
231,233
250,250
3,189
119,118
29,230
250,249
241,242
9,231
49,249
174,189
118,118
231,231
2,252
45,244
230,233
249,249
5,191
120,119
230,231
252,252
6,247
30,231
249,249
171,187
122,119
0,230
52,252
248,248
231,233
9,249
69,185
122,119
229,230
1,252
49,249
230,230
250,250
4,169
121,118
29,228
251,252
249,250
1,230
51,251
153,169
121,118
8,229
51,251
251,251
229,230
0,250
68,185
120,117
230,230
251,251
2,252
31,231
250,250
185,199
119,117
230,230
251,250
1,252
31,231
249,250
169,185
119,120
32,231
251,250
251,251
0,230
49,250
169,184
123,120
31,230
249,249
251,251
0,229
50,251
168,184
124,121
231,230
247,247
2,252
30,229
250,251
169,185
121,122
231,230
247,245
2,252
30,230
250,250
170,186
119,121
2,231
47,244
252,253
230,231
0,250
71,187
120,119
31,230
243,241
253,253
9,230
51,251
188,201
119,118
31,231
244,242
252,252
9,228
51,251
190,202
117,117
230,231
7,245
51,252
228,227
